db_id,target_table,target_total,realized_total,shortfall_total,overall_fulfillment_rate,requested_strategy_count,requested_strategies,feasible_strategy_count,shortfall_strategies,shortfall_reasons,report_path
academic,domain,50,0,50,0.0,4,"2pE,2pM,3pE,3pM",4,"2pE,2pM,3pE,3pM",sparse_combinations:50,data/spider/qa/flexbench/academic/generation_report.json
activity_1,activity,50,50,0,1.0,6,"0E,1pE,2iE,2pE,2pH,2pM",6,,,data/spider/qa/flexbench/activity_1/generation_report.json
aircraft,aircraft,50,33,17,0.66,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",11,"1pH,2iE,2iH,2iM",sparse_combinations:17,data/spider/qa/flexbench/aircraft/generation_report.json
allergy_1,allergy_type,50,36,14,0.72,5,"0E,1pE,2pE,2pH,2pM",5,"0E,1pE",duplicate_pair:14,data/spider/qa/flexbench/allergy_1/generation_report.json
apartment_rentals,apartments,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",14,,,data/spider/qa/flexbench/apartment_rentals/generation_report.json
architecture,architect,50,14,36,0.28,8,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM",8,"1pE,1pH,1pM,2iE,2iH,2iM",sparse_combinations:36,data/spider/qa/flexbench/architecture/generation_report.json
assets_maintenance,third_party_companies,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM",14,,,data/spider/qa/flexbench/assets_maintenance/generation_report.json
baseball_1,player,50,44,6,0.88,21,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",21,"3pE,3pH,3pM",sparse_combinations:6,data/spider/qa/flexbench/baseball_1/generation_report.json
battle_death,battle,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/battle_death/generation_report.json
behavior_monitoring,students,50,50,0,1.0,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",18,,,data/spider/qa/flexbench/behavior_monitoring/generation_report.json
bike_1,station,50,50,0,1.0,6,"0E,0H,0M,1pE,1pH,1pM",6,,,data/spider/qa/flexbench/bike_1/generation_report.json
book_2,book,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/book_2/generation_report.json
browser_web,browser,50,50,0,1.0,6,"0E,1pE,1pM,2pE,2pH,2pM",6,,,data/spider/qa/flexbench/browser_web/generation_report.json
candidate_poll,people,50,50,0,1.0,5,"0E,0M,1pE,1pH,1pM",5,,,data/spider/qa/flexbench/candidate_poll/generation_report.json
car_1,continents,50,28,22,0.56,2,"0E,1pE",2,0E,duplicate_pair:22,data/spider/qa/flexbench/car_1/generation_report.json
