db_id,target_table,target_total,realized_total,shortfall_total,overall_fulfillment_rate,requested_strategy_count,requested_strategies,feasible_strategy_count,shortfall_strategies,shortfall_reasons,report_path
address,zip_data,50,50,0,1.0,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",18,,,data/bird/qa/flexbench/address/generation_report.json
airline,airports,50,13,37,0.26,4,"0E,1pE,1pH,1pM",4,"1pE,1pH,1pM",sparse_combinations:37,data/bird/qa/flexbench/airline/generation_report.json
app_store,user_reviews,50,50,0,1.0,2,"0E,0M",2,,,data/bird/qa/flexbench/app_store/generation_report.json
authors,conference,50,50,0,1.0,6,"0E,1pE,1pM,2pE,2pH,2pM",6,,,data/bird/qa/flexbench/authors/generation_report.json
beer_factory,location,50,38,12,0.76,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM",11,"3iE,3iH,3iM",sparse_combinations:12,data/bird/qa/flexbench/beer_factory/generation_report.json
book_publishing_company,publishers,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM",14,,,data/bird/qa/flexbench/book_publishing_company/generation_report.json
books,country,50,50,0,1.0,3,"0E,1pE,1pM",3,,,data/bird/qa/flexbench/books/generation_report.json
california_schools,schools,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/bird/qa/flexbench/california_schools/generation_report.json
car_retails,customers,50,50,0,1.0,18,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM",18,,,data/bird/qa/flexbench/car_retails/generation_report.json
card_games,cards,50,50,0,1.0,3,"0E,0H,0M",3,,,data/bird/qa/flexbench/card_games/generation_report.json
cars,price,50,50,0,1.0,10,"0E,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",10,,,data/bird/qa/flexbench/cars/generation_report.json
chicago_crime,community_area,50,33,17,0.66,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",11,"0M,2iE,2iH,2iM",sparse_combinations:12; insufficient_filter_columns:5,data/bird/qa/flexbench/chicago_crime/generation_report.json
citeseer,paper,50,0,50,0.0,2,"0E,1pE",2,"0E,1pE",result_size_out_of_range:50,data/bird/qa/flexbench/citeseer/generation_report.json
codebase_comments,method,50,50,0,1.0,2,"0E,0M",2,,,data/bird/qa/flexbench/codebase_comments/generation_report.json
codebase_community,users,50,36,14,0.72,21,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",21,"3iE,3iH,3iM,3pH,4iE,4iH,4iM",sparse_combinations:12; generation_exception:2,data/bird/qa/flexbench/codebase_community/generation_report.json
college_completion,institution_details,50,14,36,0.28,12,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",12,"1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",sparse_combinations:36,data/bird/qa/flexbench/college_completion/generation_report.json
computer_student,person,50,50,0,1.0,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,,,data/bird/qa/flexbench/computer_student/generation_report.json
cookbook,recipe,50,50,0,1.0,12,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",12,,,data/bird/qa/flexbench/cookbook/generation_report.json
craftbeer,beers,50,50,0,1.0,2,"0E,0M",2,,,data/bird/qa/flexbench/craftbeer/generation_report.json
cs_semester,student,50,50,0,1.0,12,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM",12,,,data/bird/qa/flexbench/cs_semester/generation_report.json
debit_card_specializing,yearmonth,50,50,0,1.0,1,0E,1,,,data/bird/qa/flexbench/debit_card_specializing/generation_report.json
disney,characters,50,20,30,0.4,11,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM",11,"1pH,1pM,2iH,2iM,3iE,3iH,3iM",qa_validation_failed:18; sparse_combinations:12,data/bird/qa/flexbench/disney/generation_report.json
donor,projects,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/bird/qa/flexbench/donor/generation_report.json
european_football_1,divisions,50,50,0,1.0,4,"0E,1pE,1pH,1pM",4,,,data/bird/qa/flexbench/european_football_1/generation_report.json
financial,account,50,50,0,1.0,16,"0E,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,4iE,4iH,4iM",16,,,data/bird/qa/flexbench/financial/generation_report.json
food_inspection,businesses,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/bird/qa/flexbench/food_inspection/generation_report.json
food_inspection_2,employee,50,29,21,0.58,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,"1pH,1pM,2pH,2pM",generation_exception:21,data/bird/qa/flexbench/food_inspection_2/generation_report.json
formula_1,races,50,50,0,1.0,14,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,3iE,3iH,3iM,4iE,4iH,4iM",14,,,data/bird/qa/flexbench/formula_1/generation_report.json
